cond,n,wr,pnl,avg
bull_regime,5,0.8,478.27083333333337,95.65416666666667
bear_regime,11,0.45454545454545453,218.83333333333337,19.893939393939398
high_vol,4,0.5,147.20833333333337,36.80208333333334
low_vol,12,0.5833333333333334,549.8958333333333,45.82465277777777
scenario_B,3,0.6666666666666666,424.34375,141.44791666666666
scenario_C,13,0.5384615384615384,272.76041666666663,20.98157051282051
