period,bucket,n,wr,pnl,avg,pf,max_dd,days,per_day
FULL_22_26,aligned,3097,0.8869874071682273,326759.2916666667,105.5083279517813,11.318578702911804,-530.75,111,27.9009009009009
FULL_22_26,opposed,4172,0.8897411313518696,499528.6458333333,119.7336159715564,12.670502908697276,-891.6249999999927,142,29.380281690140844
FULL_22_26,neutral,6462,0.8669142680284742,631738.90625,97.76213343392139,9.674902161039496,-1004.71875,240,26.925
FULL_22_26,all,13731,0.8783773942174641,1458026.84375,106.18504433398878,10.898786054713888,-815.729166666657,489,28.079754601226995
OOS_2026,aligned,177,0.8870056497175142,17111.739583333336,96.67649482109229,11.937222029880955,-314.91666666666424,6,29.5
OOS_2026,opposed,318,0.7704402515723271,29557.239583333336,92.94729428721175,5.058225447514001,-556.2187500000018,10,31.8
OOS_2026,neutral,586,0.7747440273037542,47589.34375,81.21048421501706,5.726528116600558,-1004.71875,25,23.44
OOS_2026,all,1081,0.7918593894542091,94258.32291666667,87.19548835954363,5.982890173537726,-778.6979166666715,41,26.365853658536587
