period,bucket,n,wr,pnl,avg,pf,max_dd,days,per_day
PURE_OOS_22_24,aligned,682,0.8152492668621701,67818.69791666666,99.44090603616812,6.152825484764541,-530.75,57,11.964912280701755
PURE_OOS_22_24,opposed,1141,0.8404907975460123,104401.90625,91.5003560473269,6.966973987840512,-891.6249999999927,79,14.443037974683545
PURE_OOS_22_24,neutral,2040,0.821078431372549,191168.875,93.71023284313725,6.698549234188665,-706.3437500000073,121,16.859504132231404
PURE_OOS_22_24,all,3863,0.825783070152731,363389.4791666667,94.06924130641126,6.65982962781013,-815.729166666657,255,15.149019607843137
OOS_2026,aligned,177,0.8870056497175142,17111.739583333336,96.67649482109229,11.937222029880955,-314.91666666666424,6,29.5
OOS_2026,opposed,318,0.7704402515723271,29557.239583333336,92.94729428721175,5.058225447514001,-556.2187500000018,10,31.8
OOS_2026,neutral,586,0.7747440273037542,47589.34375,81.21048421501706,5.726528116600558,-1004.71875,25,23.44
OOS_2026,all,1081,0.7918593894542091,94258.32291666667,87.19548835954363,5.982890173537726,-778.6979166666715,41,26.365853658536587
