window,strategy,n,wr,pnl,avg,pf,max_dd,days,per_day,n_boosted,pnl_delta,pnl_delta_pct,dd_delta,dd_delta_pct
VAL_orig_21_25,baseline,5941,0.8108062615721259,399396.78125000006,67.22719765191046,6.511306185952886,-815.729166666657,382,15.552356020942408,0,0.0,0.0,0.0,0.0
VAL_orig_21_25,bear_aligned_120,5941,0.8108062615721259,399849.4479166667,67.30339133423105,6.509292020207425,-815.729166666657,382,15.552356020942408,88,452.66666666662786,0.11333758505762315,0.0,0.0
VAL_orig_21_25,bear_aligned_130,5941,0.8108062615721259,400075.78125,67.34148817539135,6.508287197258631,-815.729166666657,382,15.552356020942408,88,678.9999999999418,0.17000637758643472,0.0,0.0
VAL_orig_21_25,bear_aligned_150,5941,0.8108062615721259,400528.4479166667,67.41768185771195,6.506282054329717,-815.729166666657,382,15.552356020942408,88,1131.6666666666279,0.28334396264407247,0.0,0.0
VAL_orig_21_25,bear_aligned_120_dd,5941,0.8108062615721259,399849.4479166667,67.30339133423105,6.509292020207425,-815.729166666657,382,15.552356020942408,88,452.66666666662786,0.11333758505762315,0.0,0.0
VAL_orig_21_25,bear_aligned_150_dd,5941,0.8108062615721259,400528.4479166667,67.41768185771195,6.506282054329717,-815.729166666657,382,15.552356020942408,88,1131.6666666666279,0.28334396264407247,0.0,0.0
VAL_orig_21_25,any_aligned_120,5922,0.8113812901046944,411854.91875,69.54659215636609,6.525724718618726,-872.0749999999825,382,15.502617801047121,1148,12458.137499999953,3.119238332619876,-56.34583333332557,-6.907419231259507
VAL_orig_21_25,bull_aligned_120,5922,0.8113812901046944,411402.2520833334,69.47015401609818,6.5277099184161145,-872.0749999999825,382,15.502617801047121,1060,12005.470833333326,3.005900747562252,-56.34583333332557,-6.907419231259507
VAL_orig_21_25,bear_aligned_120_lo,5941,0.8108062615721259,399849.4479166667,67.30339133423105,6.509292020207425,-815.729166666657,382,15.552356020942408,88,452.66666666662786,0.11333758505762315,0.0,0.0
PURE_OOS_22_24,baseline,3863,0.825783070152731,363389.4791666667,94.06924130641126,6.65982962781013,-815.729166666657,255,15.149019607843137,0,0.0,0.0,0.0,0.0
PURE_OOS_22_24,bear_aligned_120,3863,0.825783070152731,363729.6145833333,94.1572908577099,6.664021610653837,-815.729166666657,255,15.149019607843137,16,340.13541666662786,0.09360078818094415,0.0,0.0
PURE_OOS_22_24,bear_aligned_130,3863,0.825783070152731,363899.6822916667,94.20131563335923,6.666116988523923,-815.729166666657,255,15.149019607843137,16,510.203125,0.14040118227143225,0.0,0.0
PURE_OOS_22_24,bear_aligned_150,3863,0.825783070152731,364239.8177083333,94.28936518465785,6.670306517759122,-815.729166666657,255,15.149019607843137,16,850.3385416666279,0.2340019704523764,0.0,0.0
PURE_OOS_22_24,bear_aligned_120_dd,3863,0.825783070152731,363729.6145833333,94.1572908577099,6.664021610653837,-815.729166666657,255,15.149019607843137,16,340.13541666662786,0.09360078818094415,0.0,0.0
PURE_OOS_22_24,bear_aligned_150_dd,3863,0.825783070152731,364239.8177083333,94.28936518465785,6.670306517759122,-815.729166666657,255,15.149019607843137,16,850.3385416666279,0.2340019704523764,0.0,0.0
PURE_OOS_22_24,any_aligned_120,3846,0.8263130525221009,374285.34375,97.31808209828394,6.68836002436987,-872.0749999999971,255,15.08235294117647,665,10895.864583333314,2.9983984699612014,-56.345833333340124,-6.90741923126129
PURE_OOS_22_24,bull_aligned_120,3846,0.8263130525221009,373945.2083333334,97.22964335240077,6.684273416370762,-872.0749999999971,255,15.08235294117647,649,10555.729166666686,2.9047976817802574,-56.345833333340124,-6.90741923126129
PURE_OOS_22_24,bear_aligned_120_lo,3863,0.825783070152731,363729.6145833333,94.1572908577099,6.664021610653837,-815.729166666657,255,15.149019607843137,16,340.13541666662786,0.09360078818094415,0.0,0.0
OOS_2026,baseline,1081,0.7918593894542091,94258.32291666667,87.19548835954363,5.982890173537726,-778.6979166666715,41,26.365853658536587,0,0.0,0.0,0.0,0.0
OOS_2026,bear_aligned_120,1081,0.7918593894542091,94932.09791666668,87.81877698119027,6.018508745169258,-778.6979166666715,41,26.365853658536587,14,673.7750000000087,0.7148175133517811,0.0,0.0
OOS_2026,bear_aligned_130,1081,0.7918593894542091,95268.98541666668,88.13042129201358,6.036318030985025,-778.6979166666715,41,26.365853658536587,14,1010.6625000000058,1.072226270027664,0.0,0.0
OOS_2026,bear_aligned_150,1081,0.7918593894542091,95942.76041666667,88.7537099136602,6.071936602616557,-778.6979166666715,41,26.365853658536587,14,1684.4375,1.7870437833794297,0.0,0.0
OOS_2026,bear_aligned_120_dd,1081,0.7918593894542091,94932.09791666668,87.81877698119027,6.018508745169258,-778.6979166666715,41,26.365853658536587,14,673.7750000000087,0.7148175133517811,0.0,0.0
OOS_2026,bear_aligned_150_dd,1081,0.7918593894542091,95942.76041666667,88.7537099136602,6.071936602616557,-778.6979166666715,41,26.365853658536587,14,1684.4375,1.7870437833794297,0.0,0.0
OOS_2026,any_aligned_120,1081,0.7918593894542091,97680.67083333334,90.36139762565526,6.079781878049409,-778.6979166666715,41,26.365853658536587,177,3422.3479166666657,3.630817747194958,0.0,0.0
OOS_2026,bull_aligned_120,1081,0.7918593894542091,97006.89583333334,89.73810900400865,6.044742908663924,-778.6979166666715,41,26.365853658536587,163,2748.5729166666715,2.9160002338431923,0.0,0.0
OOS_2026,bear_aligned_120_lo,1081,0.7918593894542091,94932.09791666668,87.81877698119027,6.018508745169258,-778.6979166666715,41,26.365853658536587,14,673.7750000000087,0.7148175133517811,0.0,0.0
