period,bucket,n,wr,pnl,avg,pf,max_dd,days,per_day
VAL,aligned,1167,0.7763496143958869,75395.1875,64.60598757497858,5.785021261066861,-530.75,88,13.261363636363637
VAL,opposed,1980,0.8343434343434344,119854.33333333334,60.53249158249159,6.981526228015089,-891.6250000000146,124,15.96774193548387
VAL,neutral,2794,0.8085182534001432,204147.2604166667,73.06630651992366,6.56643173713038,-706.3437500000073,171,16.339181286549707
VAL,all,5941,0.8108062615721259,399396.78125000006,67.22719765191046,6.511306185952886,-815.729166666657,382,15.552356020942408
OOS,aligned,177,0.8870056497175142,17111.739583333336,96.67649482109229,11.937222029880955,-314.91666666666424,6,29.5
OOS,opposed,318,0.7704402515723271,29557.239583333336,92.94729428721175,5.058225447514001,-556.2187500000018,10,31.8
OOS,neutral,586,0.7747440273037542,47589.34375,81.21048421501706,5.726528116600558,-1004.71875,25,23.44
OOS,all,1081,0.7918593894542091,94258.32291666667,87.19548835954363,5.982890173537726,-778.6979166666715,41,26.365853658536587
