ts_pdt,strategy,side,entry,exit,pnl_pts,pnl_dollars,size,order_id,entry_order_id,fire_ts_pdt,fired_tp_dist,fired_sl_dist,dead_tape_clipped,vol_bp_at_fire,regime_at_fire,v18_proba,v18_decision,mfe_pts,mae_pts,horizon_close,cf_pnl_designed_tp,cf_pnl_designed_sl,cf_pnl_at_125_10,cf_pnl_at_25_10
2026-04-16 06:45:59-07:00,DynamicEngine3,LONG,7070.75,7060.75,-10.0,-151.86,3,2830653442,2830653441,2026-04-16 03:56:13-07:00,12.5,10.0,False,,,,,0.0,7.0,,,,,
2026-04-16 09:41:48-07:00,DynamicEngine3,LONG,7060.75,7063.75,3.0,28.76,2,2831069052,2831069051,2026-04-16 06:51:13-07:00,25.0,10.0,False,,,,,2.0,14.0,,,,,
2026-04-16 10:02:16-07:00,DynamicEngine3,LONG,7053.0,7053.5,0.5,4.4,3,2832788146,2832621500,,,,False,,,,,,,,,,,
2026-04-16 10:13:15-07:00,DynamicEngine3,SHORT,7053.5,7061.5,-8.0,-81.24,2,2832788148,2832788146,,,,False,,,,,,,,,,,
2026-04-16 11:10:18-07:00,DynamicEngine3,LONG,7052.0,7073.75,21.75,323.15,3,2834146409,2833272702,2026-04-16 09:56:12-07:00,25.0,10.0,False,,,,,21.75,0.0,,,,,
2026-04-16 11:12:17-07:00,DynamicEngine3,SHORT,7073.75,7073.83,0.0,-1.86,2,2834184216,2834146409,,,,False,,,,,,,,,,,
2026-04-16 11:39:19-07:00,DynamicEngine3,LONG,7074.0,7077.0,3.0,14.38,1,2834184218,2834184216,2026-04-16 11:12:17-07:00,25.0,10.0,False,,,,,0.0,18.25,,,,,
2026-04-16 12:33:17-07:00,DynamicEngine3,LONG,7085.25,7075.25,-10.0,-151.86,3,2834799836,2834799834,2026-04-16 12:01:15-07:00,25.0,10.0,False,,,,,0.0,18.5,,,,,
2026-04-16 12:59:27-07:00,DynamicEngine3,LONG,7067.5,7069.0,1.5,13.76,2,2835096779,2835096778,,,,False,,,,,,,,,,,
2026-04-16 13:17:16-07:00,DynamicEngine3,LONG,7069.0,7062.5,-6.75,-69.36,2,2835504576,2835344195,2026-04-16 13:00:13-07:00,25.0,10.0,False,,,,,8.5,0.0,,,,,
2026-04-16 21:40:18-07:00,DynamicEngine3,LONG,7082.5,7084.0,1.5,19.4,3,2837496274,2837445518,2026-04-16 21:27:13-07:00,12.5,10.0,False,,,,,0.5,3.25,,,,,
2026-04-16 22:40:17-07:00,DynamicEngine3,LONG,7080.75,7080.5,-0.25,-6.85,3,2837679083,2837596403,2026-04-16 22:12:01-07:00,12.5,10.0,False,,,,,0.75,4.0,,,,,
2026-04-17 09:02:16-07:00,DynamicEngine3,LONG,7115.25,7128.25,13.0,193.14,3,2839169045,2839169044,2026-04-17 08:46:14-07:00,25.0,10.0,False,,,,,63.0,0.0,,,,,
2026-04-18 01:55:27-07:00,DynamicEngine3,LONG,6812.0,6815.5,3.5,16.26,1,500002,500001,,,,False,,,,,,,,,,,
2026-04-18 01:55:34-07:00,DynamicEngine3,LONG,6816.0,6828.5,12.5,183.78,3,500006,500004,,,,False,,,,,,,,,,,
2026-04-18 01:55:41-07:00,DynamicEngine3,LONG,6810.5,6835.5,25.0,371.28,3,500009,500007,,,,False,,,,,,,,,,,
2026-04-18 01:55:42-07:00,DynamicEngine3,LONG,6836.75,6828.75,-8.0,-41.24,1,500011,500010,,,,False,,,,,,,,,,,
2026-04-18 01:55:42-07:00,DynamicEngine3,LONG,6827.75,6829.75,2.0,26.28,3,500014,500013,,,,False,,,,,,,,,,,
2026-04-18 01:55:43-07:00,DynamicEngine3,LONG,6830.25,6850.25,20.0,98.76,1,500018,500016,,,,False,,,,,,,,,,,
2026-04-18 01:55:43-07:00,DynamicEngine3,SHORT,6845.0,6855.0,-10.0,-102.48,2,500020,500019,,,,False,,,,,,,,,,,
2026-04-18 01:55:44-07:00,DynamicEngine3,SHORT,6860.75,6858.75,2.0,17.52,2,500023,500022,,,,False,,,,,,,,,,,
2026-04-18 01:55:44-07:00,DynamicEngine3,LONG,6856.75,6846.75,-10.0,-51.24,1,500026,500025,,,,False,,,,,,,,,,,
2026-04-18 01:55:47-07:00,DynamicEngine3,LONG,6857.25,6860.0,2.75,12.51,1,500029,500028,,,,False,,,,,,,,,,,
2026-04-18 01:55:52-07:00,DynamicEngine3,LONG,6860.5,6875.0,14.5,71.26,1,500032,500031,,,,False,,,,,,,,,,,
2026-04-18 01:56:15-07:00,DynamicEngine3,LONG,6876.25,6901.25,25.0,371.28,3,500036,500034,,,,False,,,,,,,,,,,
2026-04-18 01:56:23-07:00,DynamicEngine3,LONG,6902.25,6927.25,25.0,123.76,1,500039,500037,,,,False,,,,,,,,,,,
2026-04-18 01:57:01-07:00,DynamicEngine3,LONG,6921.75,6934.0,12.25,180.03,3,500041,500040,,,,False,,,,,,,,,,,
2026-04-18 01:57:09-07:00,DynamicEngine3,LONG,6930.0,6941.25,11.25,165.03,3,500044,500043,,,,False,,,,,,,,,,,
2026-04-18 01:57:12-07:00,DynamicEngine3,SHORT,6950.25,6960.25,-10.0,-102.48,2,500047,500046,,,,False,,,,,,,,,,,
2026-04-18 01:57:12-07:00,DynamicEngine3,SHORT,6958.25,6957.25,1.0,7.52,2,500052,500049,,,,False,,,,,,,,,,,
2026-04-18 01:57:13-07:00,DynamicEngine3,LONG,6957.25,6968.5,11.25,55.01,1,500056,500053,,,,False,,,,,,,,,,,
2026-04-18 01:57:14-07:00,DynamicEngine3,SHORT,6968.5,6970.75,-2.25,-24.98,2,500060,500057,,,,False,,,,,,,,,,,
2026-04-18 01:57:17-07:00,DynamicEngine3,LONG,6970.75,6980.25,9.5,46.26,1,500064,500061,,,,False,,,,,,,,,,,
2026-04-18 01:57:18-07:00,DynamicEngine3,SHORT,6980.25,6987.5,-7.25,-74.98,2,500068,500065,,,,False,,,,,,,,,,,
2026-04-18 01:57:29-07:00,DynamicEngine3,LONG,6987.5,6990.5,3.0,13.76,1,500070,500069,,,,False,,,,,,,,,,,
2026-04-18 01:57:40-07:00,DynamicEngine3,LONG,6993.0,6995.5,2.5,22.52,2,500073,500072,,,,False,,,,,,,,,,,
2026-04-18 01:57:40-07:00,DynamicEngine3,LONG,6995.5,6985.5,-10.0,-102.48,2,500076,500075,,,,False,,,,,,,,,,,
2026-04-18 01:57:48-07:00,DynamicEngine3,LONG,6988.5,7000.25,11.75,115.02,2,500079,500078,,,,False,,,,,,,,,,,
2026-04-18 01:58:21-07:00,DynamicEngine3,LONG,6999.5,7003.75,4.25,20.01,1,500082,500081,,,,False,,,,,,,,,,,
2026-04-18 01:58:31-07:00,DynamicEngine3,LONG,7002.75,7004.5,1.75,22.53,3,500085,500084,,,,False,,,,,,,,,,,
2026-04-18 01:58:35-07:00,DynamicEngine3,LONG,7004.0,6994.0,-10.0,-153.72,3,500088,500087,,,,False,,,,,,,,,,,
2026-04-18 01:58:40-07:00,DynamicEngine3,LONG,6996.75,7009.75,13.0,191.28,3,500091,500090,,,,False,,,,,,,,,,,
2026-04-18 01:58:42-07:00,DynamicEngine3,LONG,7003.75,7009.5,5.75,82.53,3,500094,500093,,,,False,,,,,,,,,,,
2026-04-18 01:58:45-07:00,DynamicEngine3,LONG,7016.0,7018.0,2.0,8.76,1,500097,500096,,,,False,,,,,,,,,,,
2026-04-18 01:58:45-07:00,DynamicEngine3,LONG,7014.25,7006.25,-8.0,-123.72,3,500100,500099,,,,False,,,,,,,,,,,
2026-04-18 01:58:46-07:00,DynamicEngine3,LONG,7005.25,7007.5,2.25,30.03,3,500103,500102,,,,False,,,,,,,,,,,
2026-04-18 01:58:47-07:00,DynamicEngine3,SHORT,7013.5,7015.0,-1.5,-17.48,2,500108,500105,,,,False,,,,,,,,,,,
2026-04-18 01:58:48-07:00,DynamicEngine3,LONG,7015.0,7030.5,15.5,76.26,1,500112,500109,,,,False,,,,,,,,,,,
2026-04-18 01:58:48-07:00,DynamicEngine3,SHORT,7030.5,7032.25,-1.75,-19.98,2,500116,500113,,,,False,,,,,,,,,,,
2026-04-18 01:58:49-07:00,DynamicEngine3,LONG,7032.25,7022.25,-10.0,-51.24,1,500118,500117,,,,False,,,,,,,,,,,
2026-04-18 01:58:49-07:00,DynamicEngine3,LONG,7021.75,7029.25,7.5,36.26,1,500123,500120,,,,False,,,,,,,,,,,
2026-04-18 01:58:51-07:00,DynamicEngine3,SHORT,7029.25,7035.75,-6.5,-67.48,2,500127,500124,,,,False,,,,,,,,,,,
