ts,side,gap_pct,outcome,pnl_pts,pnl_dollars_net,year,period
2011-01-07,SHORT,0.005732358173551999,1,3.816000000000031,175.80000000000155,2011,pre_t1
2011-01-11,SHORT,0.007533703409992043,1,3.8115000000000236,175.57500000000118,2011,pre_t1
2011-01-12,SHORT,0.006098760574463791,1,3.835499999999911,176.77499999999554,2011,pre_t1
2011-01-21,SHORT,0.006067723624975541,1,3.855000000000018,177.7500000000009,2011,pre_t1
2011-01-26,SHORT,0.00643274853801179,1,3.8722499999998945,178.61249999999472,2011,pre_t1
2011-02-01,SHORT,0.00604170726953801,-1,-5.162000000000035,-273.1000000000017,2011,pre_t1
2011-02-07,SHORT,0.006142034548944242,0,-2.75,-152.5,2011,pre_t1
2011-02-10,LONG,-0.005519604111153376,1,3.918749999999818,180.9374999999909,2011,pre_t1
2011-02-15,LONG,-0.006204173716864103,1,3.9644999999998163,183.2249999999908,2011,pre_t1
2011-03-01,SHORT,0.00737658407414421,1,3.9945000000000164,184.72500000000082,2011,pre_t1
2011-03-02,SHORT,0.00617760617760621,1,3.9090000000001055,180.45000000000528,2011,pre_t1
2011-03-09,LONG,-0.005487228003784317,1,3.94199999999978,182.099999999989,2011,pre_t1
2011-03-15,LONG,-0.027381411492479746,-1,-5.044000000000096,-267.2000000000048,2011,pre_t1
2011-03-18,SHORT,0.012613322822230932,1,3.85349999999994,177.674999999997,2011,pre_t1
2011-03-24,SHORT,0.00560928433268848,1,3.899249999999938,179.9624999999969,2011,pre_t1
2011-04-06,SHORT,0.005083788363773323,1,4.003500000000031,185.17500000000155,2011,pre_t1
2011-04-12,LONG,-0.005303030303030254,-1,-5.251999999999953,-277.59999999999764,2011,pre_t1
2011-04-14,LONG,-0.009541984732824416,1,3.8924999999999272,179.62499999999636,2011,pre_t1
2011-04-18,LONG,-0.011064479206409739,-1,-5.183999999999969,-274.19999999999845,2011,pre_t1
2011-04-20,SHORT,0.007834893942289423,-1,-5.274000000000115,-278.70000000000573,2011,pre_t1
2011-04-27,SHORT,0.006165919282511201,1,4.038749999999936,186.93749999999682,2011,pre_t1
2011-05-05,LONG,-0.005232666791254004,1,3.9922499999997854,184.61249999998927,2011,pre_t1
2011-05-06,SHORT,0.00563274502440847,-1,-5.3559999999999945,-282.7999999999997,2011,pre_t1
2011-05-11,LONG,-0.00553914327917282,1,4.039499999999862,186.9749999999931,2011,pre_t1
2011-05-17,LONG,-0.007722734978338641,1,3.9509999999997945,182.54999999998972,2011,pre_t1
2011-05-20,LONG,-0.006335010247810691,1,3.999749999999949,184.98749999999745,2011,pre_t1
2011-05-23,LONG,-0.012206572769953072,-1,-5.259999999999991,-277.99999999999955,2011,pre_t1
